year,index,date,N1,N2,N3,N4,N5,N6,S1,color,zodiac,EvO,BS
2006,145,2006-12-07,5,10,40,8,27,34,47,blue,rat,odd,big
2006,146,2006-12-09,21,28,24,48,22,43,44,green,rabbit,even,big
2006,147,2006-12-12,39,15,41,6,26,30,14,blue,rooster,even,small
2006,148,2006-12-14,37,47,15,14,29,2,45,red,tiger,odd,big
2006,149,2006-12-17,13,21,17,22,9,33,41,blue,horse,odd,big
2006,150,2006-12-19,11,32,48,5,33,17,4,blue,goat,even,small
2006,151,2006-12-21,5,48,35,28,46,49,11,green,rat,odd,small
2006,152,2006-12-24,31,34,16,39,42,29,41,blue,horse,odd,big
2006,153,2006-12-28,11,3,14,27,20,44,43,green,dragon,odd,big
2006,154,2006-12-30,7,30,21,6,5,40,42,blue,snake,even,big
2007,1,2007-01-02,12,6,14,32,30,38,41,blue,goat,odd,big
2007,2,2007-01-04,7,33,8,49,40,42,13,red,pig,odd,small
2007,3,2007-01-06,49,38,3,17,33,43,14,blue,dog,even,small
2007,4,2007-01-09,19,11,34,14,16,43,48,blue,rat,even,big
2007,5,2007-01-11,27,10,41,40,2,1,43,green,snake,odd,big
2007,6,2007-01-13,28,7,6,38,25,45,16,green,monkey,even,small
2007,7,2007-01-16,4,23,42,25,38,14,10,blue,tiger,even,small
2007,8,2007-01-18,7,48,49,33,10,39,42,blue,horse,even,big
2007,9,2007-01-21,28,9,26,36,18,44,19,red,snake,odd,small
2007,10,2007-01-23,25,19,35,6,32,31,15,blue,rooster,odd,small
2007,11,2007-01-25,6,5,24,23,38,48,30,red,horse,even,big
2007,12,2007-01-27,25,36,39,11,26,41,16,green,monkey,even,small
2007,13,2007-01-30,11,12,24,14,18,9,38,green,dog,even,big
2007,14,2007-02-01,33,8,13,32,39,47,17,green,goat,odd,small
2007,15,2007-02-03,27,11,39,19,12,6,28,green,monkey,even,big
2007,16,2007-02-06,47,42,22,12,19,11,36,blue,rat,even,big
2007,17,2007-02-08,44,27,26,37,24,9,3,blue,rooster,odd,small
2007,18,2007-02-11,32,22,11,45,25,41,1,red,pig,odd,small
2007,19,2007-02-13,3,13,21,22,14,32,7,red,snake,odd,small
2007,20,2007-02-15,38,7,17,48,15,45,46,red,tiger,even,big
2007,21,2007-02-17,33,28,9,42,16,17,29,red,goat,odd,big
2007,22,2007-02-19,37,35,4,18,47,17,32,green,dragon,even,big
2007,23,2007-02-22,18,39,32,8,11,2,46,red,tiger,even,big
2007,24,2007-02-24,32,36,9,24,7,22,8,red,dragon,even,small
2007,25,2007-02-27,38,30,10,41,16,9,2,red,dog,even,small
2007,26,2007-03-01,43,18,25,29,16,33,41,blue,goat,odd,big
2007,27,2007-03-03,30,4,43,46,10,35,14,blue,dog,even,small
2007,28,2007-03-06,27,41,5,8,22,32,45,red,rabbit,odd,big
2007,29,2007-03-08,6,12,16,49,33,25,48,blue,rat,even,big
2007,30,2007-03-11,2,16,7,30,37,39,20,blue,dragon,even,small
2007,31,2007-03-13,4,1,39,46,12,35,14,blue,dog,even,small
2007,32,2007-03-15,45,14,39,40,49,1,42,blue,horse,even,big
2007,33,2007-03-17,49,45,23,36,26,21,2,red,dog,even,small
2007,34,2007-03-20,23,42,1,11,37,43,24,red,rat,even,small
2007,35,2007-03-22,12,47,43,6,15,9,49,green,pig,odd,big
2007,36,2007-03-24,12,5,22,6,40,2,24,red,rat,even,small
2007,37,2007-03-27,32,12,24,46,36,21,13,red,pig,odd,small
2007,38,2007-03-29,23,40,45,2,44,22,32,green,dragon,even,big
2007,39,2007-04-01,16,17,38,28,21,45,10,blue,tiger,even,small
2007,40,2007-04-03,22,48,9,30,42,41,49,green,pig,odd,big
2007,41,2007-04-05,13,40,33,35,48,39,27,green,rooster,odd,big
2007,42,2007-04-07,5,36,41,23,8,7,24,red,rat,even,small
2007,43,2007-04-10,45,13,6,9,31,40,47,blue,ox,odd,big
2007,44,2007-04-12,27,45,4,35,8,24,15,blue,rooster,odd,small
2007,45,2007-04-15,14,19,44,11,35,49,10,blue,tiger,even,small
2007,46,2007-04-17,43,40,49,45,20,2,38,green,dog,even,big
2007,47,2007-04-19,7,48,29,15,9,32,38,green,dog,even,big
